lambda_angstroms A            Z   ion_stage lower_energy_Ev   lower_statweight  forbidden  lower_level               upper_level               upper_statweight  upper_energy_Ev   upper_has_permitted
           442.0 2.143900E+08   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s2_2p2(1De)3d_2De[3/2]                4.00           31.3738                   1
           442.0 2.018900E+09   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s2_2p2(1De)3d_2De[5/2]                6.00           31.3741                   1
           440.6 6.983400E+08   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s2_2p2(1De)3d_2Pe[3/2]                4.00           31.4662                   1
           439.2 2.855400E+06   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s2_2p2(3Pe)4d_4Fe[7/2]                8.00           31.5515                   1
           438.4 1.052400E+05   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s2_2p2(3Pe)4d_4De[5/2]                6.00           31.6031                   1
           438.0 5.794000E+05   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s2_2p2(3Pe)4d_4Pe[5/2]                6.00           31.6290                   1
           438.0 1.094500E+04   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s2_2p2(3Pe)4d_4Pe[3/2]                4.00           31.6336                   1
           437.9 3.796100E+07   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s2_2p2(3Pe)4d_2Pe[3/2]                4.00           31.6375                   1
           437.7 6.819200E+07   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s2_2p2(3Pe)4d_2Fe[5/2]                6.00           31.6534                   1
           437.3 1.316500E+09   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s2_2p2(3Pe)4d_2Fe[7/2]                8.00           31.6738                   1
           436.6 3.325600E+07   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s2_2p2(3Pe)4d_2De[3/2]                4.00           31.7205                   1
           436.5 2.857500E+08   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s2_2p2(3Pe)4d_2De[5/2]                6.00           31.7273                   1
           432.9 4.258600E+05   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s2_2p2(3Pe)5s_4Pe[3/2]                4.00           31.9631                   1
           432.6 1.636000E+03   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s2_2p2(3Pe)5s_4Pe[5/2]                6.00           31.9836                   1
           431.4 1.747000E+08   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s2_2p2(3Pe)5s_2Pe[3/2]                4.00           32.0631                   1
           430.1 4.062100E+08   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s2_2p2(1De)4s_2De[5/2]                6.00           32.1476                   1
           430.1 4.313600E+07   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s2_2p2(1De)4s_2De[3/2]                4.00           32.1476                   1
           419.4 3.807500E+07   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s2_2p2(3Pe)5d_4De[5/2]                6.00           32.8831                   1
           419.4 1.448100E+08   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s2_2p2(3Pe)5d_2Pe                     6.00           32.8846                   1
           419.1 9.804100E+07   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s2_2p2(3Pe)5d_4Pe[5/2]                6.00           32.9093                   1
           418.8 2.931000E+08   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s2_2p2(3Pe)5d_2Fe[7/2]                8.00           32.9279                   1
